"OffspringID1","OffspringID2","Probability","SibType","Year","Lat1","Long1","Lat2","Long2","Cluster1","Cluster2","count_na_row1","count_na_row2","Distance"
"1285A","1285G",0.959,"Full","2017",54.5682,-5.9738,54.5682,-5.9738,1,1,1,1,0
"1285F","1285H",0.872,"Full","2017",54.5682,-5.9738,54.5682,-5.9738,1,1,4,1,0
"1519","3093",0.801,"Full","2017",51.561233,-2.0470798,54.95388,-4.4859716,1,1,2,4,411.096277254639
"3129A","3129F",0.96,"Full","2017",54.4562,-6.2386,54.4562,-6.2386,1,1,7,6,0
"3129A","3129G",0.96,"Full","2017",54.4562,-6.2386,54.4562,-6.2386,1,1,7,6,0
"3129F","3129G",0.997,"Full","2017",54.4562,-6.2386,54.4562,-6.2386,1,1,6,6,0
"3129F","3129H",0.803,"Full","2017",54.4562,-6.2386,54.4562,-6.2386,1,1,6,4,0
"3129G","3129H",0.803,"Full","2017",54.4562,-6.2386,54.4562,-6.2386,1,1,6,4,0
"3129J","3129P",0.999,"Full","2017",54.4562,-6.2386,54.4562,-6.2386,1,1,3,1,0
"3129J","3129Q",0.806,"Full","2017",54.4562,-6.2386,54.4562,-6.2386,1,1,3,2,0
"3129K","3129O",0.88,"Full","2017",54.4562,-6.2386,54.4562,-6.2386,1,1,3,3,0
"3129P","3129Q",0.895,"Full","2017",54.4562,-6.2386,54.4562,-6.2386,1,1,1,2,0
"0645B","0645H",0.984,"Full","2018",54.4562,-6.2386,54.4562,-6.2386,1,1,6,7,0
"0645B","0645N",0.827,"Full","2018",54.4562,-6.2386,54.4562,-6.2386,1,1,6,1,0
"0645E","0645H",0.876,"Full","2018",54.4562,-6.2386,54.4562,-6.2386,1,1,4,7,0
"0645E","0645N",0.949,"Full","2018",54.4562,-6.2386,54.4562,-6.2386,1,1,4,1,0
"1187A","1187C",0.968,"Full","2018",50.740023,-2.039898,50.740023,-2.039898,29,29,0,0,0
"1600A","3026B",0.804,"Full","2018",50.734162,-2.0313343,50.749009,-1.6585563,29,17,0,3,26.3649948369247
"1715A","1715B",0.991,"Full","2018",51.062093,-1.3044774,51.062093,-1.3044774,205,205,0,0,0
"2159B","2159D",0.999,"Full","2018",51.321565,-0.38965549,51.321565,-0.38965549,328,328,0,1,0
"2448C","2448E",0.93,"Full","2018",54.6103,-6.8351,54.6103,-6.8351,1,1,3,2,0
"2448C","2448G",0.854,"Full","2018",54.6103,-6.8351,54.6103,-6.8351,1,1,3,6,0
"2448C","2448H",1,"Full","2018",54.6103,-6.8351,54.6103,-6.8351,1,1,3,2,0
"2448C","2448I",0.985,"Full","2018",54.6103,-6.8351,54.6103,-6.8351,1,1,3,2,0
"2448E","2448G",0.978,"Full","2018",54.6103,-6.8351,54.6103,-6.8351,1,1,2,6,0
"2448E","2448I",1,"Full","2018",54.6103,-6.8351,54.6103,-6.8351,1,1,2,2,0
"2448G","2448I",0.991,"Full","2018",54.6103,-6.8351,54.6103,-6.8351,1,1,6,2,0
"2448H","2448I",0.849,"Full","2018",54.6103,-6.8351,54.6103,-6.8351,1,1,2,2,0
"5637A","5637G",0.91,"Full","2018",50.987501,-1.356184,50.987501,-1.356184,205,205,1,7,0
"5637E","5637G",0.918,"Full","2018",50.987501,-1.356184,50.987501,-1.356184,205,205,6,7,0
"5912B","5912E",0.942,"Full","2018",51.196218,-0.8062188,51.196218,-0.8062188,286,286,1,3,0
"3253A","5597B",0.869,"Half","2018",51.059503,-1.357926,50.904554,0.55478069,205,22,1,1,135.417047187415
